,customer_id,response_date,best_offers
0,2394823,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
1,2394824,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
2,2394825,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
3,2394826,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
4,2394827,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
5,2394828,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
6,2394829,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
7,2394830,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
8,2394831,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
9,2394832,2022-05-04,"['OFFER_2', 'OFFER_7', 'OFFER_8']"
10,2394833,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
11,2394834,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
12,2394835,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
13,2394836,2022-05-04,"['OFFER_2', 'OFFER_5', 'OFFER_6']"
14,2394837,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
15,2394838,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
16,2394839,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
17,2394840,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
18,2394841,2022-05-04,"['OFFER_1', 'OFFER_2', 'OFFER_3']"
